sched,carga,pathloss,alpha,seed,jfi_slots,jfi_throughput,jfi_win,starv_p95,starv_max,throughput_aggregate_bps,throughput_mean_per_ue_bps,thr_5pct,nunca,gini_slots,gini_throughput,slots_vec,thr_vec,j_beta_-3.0,j_beta_-2.0,j_beta_-1.0,j_beta_+0.0,j_beta_+0.5,j_beta_+0.9
RR,2,False,,0,1.0,0.9999957330155643,1.0,2.0,2,54703736.0,27351868.0,27301018.0,0,0.0,0.0010328362216429632,"5000,5000","27408368.000,27295368.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,0,0.999996000016,0.9999923980270587,0.9578907187031659,5.0,13,68609280.0,34304640.0,34219514.4,0,0.0009999999999998899,0.0013785890188615646,"4990,5010","34210056.000,34399224.000",0.9999920001226644,0.9999940000539995,0.9999960000160001,0.9999980000006666,0.9999989999990001,0.9999997999996347
PF,2,False,,0,0.9999967600104975,0.9999999983372121,0.9715989611104299,5.0,11,68371380.0,34185690.0,34184435.4,0,0.0008999999999999009,2.0388647998581533e-05,"5009,4991","34184296.000,34187084.000",0.9999935200804804,0.9999951400354291,0.9999967600104975,0.9999983800004374,0.9999991899993441,0.9999998379997603
RR,2,False,,1,1.0,0.9999693185486479,1.0,2.0,2,54821220.0,27410610.0,27273961.2,0,0.0,0.0027695844784190182,"5000,5000","27562442.000,27258778.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,1,0.9999640012959533,0.9999466410315285,0.9597479139882905,5.0,12,68474424.0,34237212.0,34012122.0,0,0.0029999999999998916,0.003652458617249499,"4970,5030","33987112.000,34487312.000",0.9999280099343828,0.9999460043736064,0.9999640012959534,0.9999820000539994,0.9999909999189985,0.9999981999704073
PF,2,False,,1,0.9999967600104975,0.9999938660135889,0.974205909878329,5.0,12,68236064.0,34118032.0,34041982.0,0,0.0008999999999999009,0.0012383480969828664,"5009,4991","34033532.000,34202532.000",0.9999935200804804,0.9999951400354291,0.9999967600104975,0.9999983800004374,0.9999991899993441,0.9999998379997603
RR,2,False,,2,1.0,0.9999980937330151,1.0,2.0,2,54573204.0,27286602.0,27252695.4,0,0.0,0.0006903387970405017,"5000,5000","27324276.000,27248928.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,2,0.9999910000809993,0.999960798446448,0.9575584007756829,5.0,14,68516172.0,34258086.0,34065037.8,0,0.0015000000000000568,0.003130618564037624,"4985,5015","34043588.000,34472584.000",0.9999820006209748,0.999986500273369,0.9999910000809994,0.999995500003375,0.9999977499949372,0.9999995499981505
PF,2,False,,2,0.9999993600004096,0.999994282852995,0.97370356843741,5.0,13,68267560.0,34133780.0,34060325.6,0,0.00039999999999995595,0.0011955312303530974,"4996,5004","34052164.000,34215396.000",0.9999987200031403,0.9999990400013825,0.9999993600004097,0.999999680000017,0.9999998399999744,0.9999999679999907
RR,2,False,,3,1.0,0.999999998505818,1.0,2.0,2,54068526.0,27034263.0,27033322.5,0,0.0,1.9327325475826385e-05,"5000,5000","27033218.000,27035308.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,3,0.9999788404477361,0.9999879473789849,0.9564368295011273,5.0,15,68577168.0,34288584.0,34181448.0,0,0.0022999999999999687,0.00173585470896076,"4977,5023","34169544.000,34407624.000",0.9999576834323879,0.9999682615110616,0.9999788404477363,0.999989420018656,0.9999947099720154,0.9999989419897765
PF,2,False,,3,0.9999708408502808,0.9999881629564188,0.9713188249401925,5.0,12,68326864.0,34163432.0,34057646.0,0,0.0026999999999999247,0.0017202604234842767,"4973,5027","34045892.000,34280972.000",0.9999416865181501,0.9999562628695722,0.9999708408502809,0.999985420035429,0.999992709946855,0.9999985419805844
RR,2,False,,4,1.0,0.9999999629713404,1.0,2.0,2,53983736.0,26991868.0,26987193.4,0,0.0,9.621416346572431e-05,"5000,5000","26986674.000,26997062.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,4,0.9999932400456973,0.9999706814837414,0.9540502417340181,5.0,13,68343856.0,34171928.0,34005399.2,0,0.0013000000000000789,0.002707368457524506,"5013,4987","34356960.000,33986896.000",0.9999864803503375,0.9999898601542269,0.9999932400456976,0.9999966200019041,0.9999983099971439,0.9999996619989566
PF,2,False,,4,0.9999999600000016,0.9999915101086532,0.9700102546915439,5.0,11,68073004.0,34036502.0,33947245.4,0,9.999999999998899e-05,0.0014568770903660155,"5001,4999","34135676.000,33937328.000",0.9999999200000123,0.9999999400000055,0.9999999600000016,0.9999999800000001,0.99999999,0.999999998
RR,2,False,,5,1.0,0.9999364813296244,1.0,2.0,2,54379152.0,27189576.0,26994542.4,0,0.0,0.003985056626112815,"5000,5000","27406280.000,26972872.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,5,0.9999481626872463,0.9999894025767445,0.9591783460387319,5.0,14,68493268.0,34246634.0,34146296.6,0,0.0036000000000000476,0.0016276928120877443,"5036,4964","34358120.000,34135148.000",0.9998963405984611,0.999922249068751,0.9999481626872461,0.9999740801119725,0.9999870398320341,0.999997407938636
PF,2,False,,5,0.9999686409834188,0.9999925044577026,0.9751987218559787,5.0,11,68247272.0,34123636.0,34039554.4,0,0.0027999999999999137,0.001368904532916826,"5028,4972","34217060.000,34030212.000",0.9999372875387113,0.9999529633188822,0.9999686409834189,0.9999843200409766,0.9999921599385332,0.9999984319775442
RR,2,False,,6,1.0,0.9999837212659478,1.0,2.0,2,54313998.0,27156999.0,27058385.1,0,0.0,0.002017362080397822,"5000,5000","27047428.000,27266570.000",1.0,1.0,1.0,1.0,1.0000000000000002,1.0
MaxCI,2,False,,6,0.9999921600614651,0.9999997851428958,0.9545092537473525,5.0,14,68613068.0,34306534.0,34292222.2,0,0.0014000000000000679,0.00023176343025510526,"4986,5014","34290632.000,34322436.000",0.9999843204712195,0.9999882402074424,0.9999921600614653,0.999996080002561,0.9999980399961583,0.9999996079985966
PF,2,False,,6,0.9999980400038416,0.9999979287393936,0.9703307508072837,5.0,13,68377400.0,34188700.0,34144416.4,0,0.0006999999999999229,0.0007195944858973125,"4993,5007","34237904.000,34139496.000",0.9999960800294518,0.9999970600129652,0.9999980400038415,0.99999902000016,0.9999995099997602,0.9999999019999123
