scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
max_c_i,16,14,0,5721567.9171875,610,31720
max_c_i,16,14,1,6045885.068359375,641,33332
max_c_i,16,14,2,6377873.20078125,678,35256
max_c_i,16,14,3,6108132.760546875,649,33748
max_c_i,16,14,4,5410342.47734375,577,30004
max_c_i,16,14,5,5986077.02265625,637,33124
max_c_i,16,14,6,6153497.30859375,660,34320
max_c_i,16,14,7,6094054.471875,647,33644
max_c_i,16,14,8,5599391.61484375,594,30888
max_c_i,16,14,9,5939888.55390625,625,32500
max_c_i,16,14,10,5840341.70703125,623,32396
max_c_i,16,14,11,5835361.809375,622,32344
max_c_i,16,14,12,6053044.92421875,644,33488
max_c_i,16,14,13,5612270.109375,592,30784
max_c_i,16,14,14,5575905.8125,592,30784
max_c_i,16,14,15,5736250.4640625,609,31668
