scheduler,carga,seed,ue_id,throughput_bps,slots_allocated,prbs_allocated
proportional_fair,16,13,0,5590162.69453125,628,32656
proportional_fair,16,13,1,5539283.27734375,629,32708
proportional_fair,16,13,2,5521337.31875,624,32448
proportional_fair,16,13,3,5583676.508203125,629,32708
proportional_fair,16,13,4,5593839.1046875,622,32344
proportional_fair,16,13,5,5478857.058984375,626,32552
proportional_fair,16,13,6,5573037.344921875,628,32656
proportional_fair,16,13,7,5546296.173046875,622,32344
proportional_fair,16,13,8,5530770.56171875,624,32448
proportional_fair,16,13,9,5572066.169921875,631,32812
proportional_fair,16,13,10,5523374.235546875,617,32084
proportional_fair,16,13,11,5530241.238671875,626,32552
proportional_fair,16,13,12,5575318.8109375,625,32500
proportional_fair,16,13,13,5570360.421484375,624,32448
proportional_fair,16,13,14,5538706.6375,620,32240
proportional_fair,16,13,15,5572265.00078125,625,32500
